generation,agent_id,parent_id,fitness,h_x,c_x,i_x_seed,h_dezorg
20,base_gen20_211,base_gen19_209,0.4520849165113472,6.718572172845426,0.5437987857762359,0.9184974347967938,0.8515171830996019
20,base_gen20_214,base_gen20_213,0.4569779741690481,6.646089404413845,0.5496921723834652,0.9236793169085119,0.848846680001237
20,base_gen20_217,base_gen19_208,0.4525497414914092,6.693451432747848,0.5502555366269165,0.9213819600689327,0.8660894976556601
20,base_gen20_218,base_gen20_213,0.4539817153938537,6.689999144045925,0.5541958041958042,0.9210986664002592,0.8641317953250861
20,base_gen20_219,base_gen19_200,0.4550366242366828,6.768688357104841,0.5456140350877193,0.9178569892994445,0.8378804046967764
21,base_gen18_197,base_gen18_197,0.45097137968046397,6.748479178174536,0.5511111111111111,0.9164621848428636,0.8629652303715056
21,base_gen19_200,base_gen19_200,0.45319215811220126,6.763243230376868,0.5311130587204207,0.9180704819408317,0.8258850023717041
21,base_gen20_210,base_gen20_210,0.45209039303058923,6.672060948420807,0.5556521739130434,0.9211521996959801,0.8759067949565693
21,base_gen20_211,base_gen20_211,0.46043037361729566,6.6305933967027935,0.5554577464788732,0.9246217724697128,0.8425891828061134
21,base_gen20_218,base_gen20_218,0.45020694499280767,6.741481503072589,0.5414123801220575,0.903387593224522,0.8195528282803525
21,base_gen21_220,base_gen20_217,0.4505934203081333,6.650865294932615,0.5578947368421052,0.9087840776747921,0.8558351979094713
21,base_gen21_222,base_gen20_219,0.45250579386979106,6.693932941791749,0.5543672014260249,0.919003585030799,0.8665307953670797
21,base_gen21_224,base_gen20_219,0.4542170119907592,6.670142559250166,0.5545536519386834,0.9186744275789424,0.857431486901585
21,base_gen21_225,base_gen20_219,0.45260149639410574,6.628840647547233,0.5516014234875445,0.9174842389668263,0.8581052506778536
21,base_gen21_229,base_gen20_217,0.45554192846086017,6.664435960291614,0.554089709762533,0.9269616019506687,0.8708289272161704
22,base_gen18_197,base_gen18_197,0.45539735801954506,6.655071074446373,0.5507880910683012,0.9154402887631781,0.8377960684126718
22,base_gen20_210,base_gen20_210,0.45331547498535707,6.775953084104399,0.5300261096605744,0.9187826618470889,0.8254184441817985
22,base_gen20_211,base_gen20_211,0.4575189973079773,6.6305933967027935,0.5552608311229,0.92240539004118,0.8513097352474134
